Date,Price,Open,High,Low,Change %
30-Apr-19,1283.60,1279.98,1286.58,1279.69,0.30%
29-Apr-19,1279.80,1286.55,1287.00,1277.97,-0.50%
26-Apr-19,1286.25,1277.27,1289.01,1276.05,0.70%
25-Apr-19,1277.35,1275.60,1282.81,1273.35,0.16%
24-Apr-19,1275.36,1272.30,1278.79,1268.58,0.23%
23-Apr-19,1272.40,1275.40,1276.83,1266.25,-0.20%
22-Apr-19,1274.93,1275.83,1280.14,1273.66,-0.04%
18-Apr-19,1275.40,1273.49,1277.97,1271.07,0.10%
17-Apr-19,1274.14,1276.84,1280.01,1272.94,-0.19%
16-Apr-19,1276.57,1287.90,1288.85,1272.94,-0.88%
15-Apr-19,1287.89,1290.60,1292.08,1282.37,-0.19%
12-Apr-19,1290.40,1292.30,1296.10,1290.09,-0.17%
11-Apr-19,1292.59,1308.10,1309.37,1289.66,-1.18%
10-Apr-19,1308.05,1304.09,1310.96,1301.06,0.30%
9-Apr-19,1304.14,1297.65,1306.50,1296.57,0.52%
8-Apr-19,1297.42,1291.80,1303.97,1291.39,0.44%
5-Apr-19,1291.70,1292.44,1293.69,1284.44,-0.05%
4-Apr-19,1292.38,1290.10,1294.55,1280.91,0.19%
3-Apr-19,1289.91,1292.34,1294.81,1288.34,-0.25%
2-Apr-19,1293.15,1287.55,1293.15,1285.17,0.43%
1-Apr-19,1287.67,1291.48,1297.23,1286.64,-0.35%
29-Mar-19,1292.15,1290.59,1300.01,1286.77,0.12%
28-Mar-19,1290.55,1309.85,1312.48,1288.58,-1.47%
27-Mar-19,1309.86,1315.61,1319.60,1308.03,-0.43%
26-Mar-19,1315.52,1321.80,1323.41,1312.69,-0.48%
25-Mar-19,1321.90,1313.35,1324.57,1310.97,0.65%
22-Mar-19,1313.38,1309.55,1315.20,1306.81,0.30%
21-Mar-19,1309.45,1313.05,1320.62,1303.40,-0.23%
20-Mar-19,1312.48,1305.74,1317.03,1298.58,0.45%
19-Mar-19,1306.55,1303.60,1311.19,1302.50,0.22%
18-Mar-19,1303.70,1302.34,1306.89,1298.19,0.18%
15-Mar-19,1301.38,1296.15,1306.79,1293.82,0.39%
14-Mar-19,1296.28,1309.76,1310.53,1292.83,-0.99%
13-Mar-19,1309.28,1302.16,1311.56,1300.61,0.56%
12-Mar-19,1302.01,1293.84,1302.40,1292.08,0.60%
11-Mar-19,1294.25,1298.85,1299.44,1290.34,-0.32%
8-Mar-19,1298.40,1285.78,1300.85,1285.18,0.98%
7-Mar-19,1285.74,1286.71,1289.10,1281.27,-0.08%
6-Mar-19,1286.76,1287.48,1291.11,1283.51,-0.05%
5-Mar-19,1287.43,1286.67,1289.92,1281.10,0.06%
4-Mar-19,1286.67,1293.61,1297.35,1282.88,-0.53%
1-Mar-19,1293.56,1312.94,1315.46,1290.24,-1.48%
28-Feb-19,1313.05,1319.87,1327.44,1312.41,-0.52%
27-Feb-19,1319.88,1328.92,1329.96,1316.78,-0.68%
26-Feb-19,1328.96,1327.11,1330.40,1323.44,0.14%
25-Feb-19,1327.13,1328.89,1332.80,1325.15,-0.05%
22-Feb-19,1327.80,1323.51,1333.41,1321.39,0.32%
21-Feb-19,1323.49,1338.59,1341.71,1321.99,-1.12%
20-Feb-19,1338.49,1341.24,1347.11,1336.79,-0.20%
19-Feb-19,1341.17,1326.25,1342.11,1322.63,1.08%
18-Feb-19,1326.90,1321.41,1328.05,1320.60,0.42%
15-Feb-19,1321.41,1312.64,1322.76,1311.17,0.68%
14-Feb-19,1312.55,1306.17,1314.70,1302.88,0.49%
13-Feb-19,1306.19,1310.89,1318.36,1304.80,-0.36%
12-Feb-19,1310.90,1308.22,1315.10,1306.44,0.20%
11-Feb-19,1308.32,1314.55,1315.01,1303.69,-0.44%
8-Feb-19,1314.06,1310.13,1316.05,1307.53,0.30%
7-Feb-19,1310.09,1306.19,1312.27,1302.53,0.30%
6-Feb-19,1306.22,1315.02,1316.16,1305.70,-0.67%
5-Feb-19,1315.02,1311.73,1317.13,1310.59,0.25%
4-Feb-19,1311.75,1318.13,1319.11,1308.50,-0.47%
1-Feb-19,1318.00,1320.93,1323.82,1315.94,-0.22%
31-Jan-19,1320.94,1319.87,1326.65,1317.39,0.08%
30-Jan-19,1319.91,1311.95,1323.67,1308.81,0.61%
29-Jan-19,1311.93,1303.53,1312.34,1302.45,0.64%
28-Jan-19,1303.53,1303.82,1304.79,1297.54,0.02%
25-Jan-19,1303.22,1280.93,1303.78,1279.71,1.74%
24-Jan-19,1280.94,1282.42,1285.19,1276.79,-0.11%
23-Jan-19,1282.40,1285.04,1286.90,1278.40,-0.21%
22-Jan-19,1285.04,1279.94,1285.84,1277.21,0.37%
21-Jan-19,1280.28,1281.64,1283.95,1276.58,-0.09%
18-Jan-19,1281.49,1291.88,1292.73,1280.49,-0.81%
17-Jan-19,1291.90,1293.55,1295.62,1288.67,-0.13%
16-Jan-19,1293.52,1289.11,1295.22,1287.77,0.33%
15-Jan-19,1289.31,1291.73,1295.03,1286.60,-0.19%
14-Jan-19,1291.73,1287.70,1296.21,1287.45,0.29%
11-Jan-19,1288.00,1286.30,1295.55,1286.01,0.13%
10-Jan-19,1286.38,1293.13,1297.47,1285.99,-0.52%
9-Jan-19,1293.13,1285.36,1294.25,1279.90,0.61%
8-Jan-19,1285.35,1288.68,1290.44,1279.10,-0.26%
7-Jan-19,1288.67,1286.01,1295.42,1282.53,0.29%
4-Jan-19,1284.92,1294.04,1298.68,1276.66,-0.70%
3-Jan-19,1293.99,1284.80,1295.11,1284.17,0.72%
2-Jan-19,1284.77,1282.30,1288.93,1278.59,0.17%
1-Jan-19,1282.61,1282.78,1283.05,1282.52,-0.02%
31-Dec-18,1282.82,1280.20,1284.34,1277.31,0.16%
28-Dec-18,1280.75,1275.23,1282.34,1274.19,0.43%
27-Dec-18,1275.22,1266.89,1279.30,1266.42,0.65%
26-Dec-18,1266.98,1270.75,1279.33,1264.56,-0.17%
24-Dec-18,1269.13,1258.65,1270.13,1257.96,1.04%
21-Dec-18,1256.01,1260.10,1263.12,1253.68,-0.33%
